category_id,title,product_code,qty,price,description,image,image1,image2,image3
Extreme Slides,THE GIANT CONER,,,,,,,,
Extreme Slides,SWIRL N ROUND,,,,,,,,
Extreme Slides,WATER CRUISER,,,,,,,,
Extreme Slides,SPIDER,,,,,,,,
Extreme Slides,FLAT LINE,,,,,,,,
Extreme Slides,TORPEDO,,,,,,,,
Water Movers,LAZY RIVER,,,,,,,,
Water Movers,CRAZY RIVER,,,,,,,,
Water Movers,WAVE POOL,,,,,,,,
Water Slides,TORNADO SWIRL,,,,,,,,
Water Slides,BODY SLIDE,,,,,,,,
Water Slides,CRAZY CRUIZE,,,,,,,,
Water Slides,OSCILATOR,,,,,,,,
Water Slides,FLOAT SLIDE,,,,,,,,
Water Slides,FLOAT TORNADO SWIRL,,,,,,,,
Water Slides,OSCILATOR JUNIOR,,,,,,,,
Water Slides,MULTI LANE RACING SLIDE,,,,,,,,
Water Slides,RIVER SLIDE,,,,,,,,
Water Slides,FLOAT WAVE RIDER,,,,,,,,
Water Slides,TWISTER SLIDE,,,,,,,,
Water House,WATER HOUSE 2,,,,,,,,
Water House,WATER HOUSE 3,,,,,,,,
Water House,WATER HOUSE 4,,,,,,,,
Water House,WATER HOUSE 5,,,,,,,,
Water House,WATER HOUSE 6,,,,,,,,
Water House,WATER HOUSE 7,,,,,,,,
Water House,WATER HOUSE 8,,,,,,,,
Water House,WATER HOUSE 9,,,,,,,,
Water House,WATER HOUSE 10,,,,,,,,
Water House,WATER HOUSE 11,,,,,,,,
Water House,WATER HOUSE 12,,,,,,,,
Water House,WATER HOUSE 13,,,,,,,,
Water House,WATER HOUSE 14,,,,,,,,
Water House,WATER HOUSE 15,,,,,,,,
Water House,WATER HOUSE 16,,,,,,,,
Water House,WATER HOUSE 17,,,,,,,,
Water House,WATER HOUSE 18,,,,,,,,
Water House,WATER HOUSE 19,,,,,,,,
Water House,WATER HOUSE 20,,,,,,,,
