category_id,title,product_code,qty,price,description,image,image1,image2,image3
1,THE GIANT CONER,,,,,,,,
1,SWIRL N ROUND,,,,,,,,
1,WATER CRUISER,,,,,,,,
1,SPIDER,,,,,,,,
1,FLAT LINE,,,,,,,,
1,TORPEDO,,,,,,,,
2,LAZY RIVER,,,,,,,,
2,CRAZY RIVER,,,,,,,,
2,WAVE POOL,,,,,,,,
4,TORNADO SWIRL,,,,,,,,
4,BODY SLIDE,,,,,,,,
4,CRAZY CRUIZE,,,,,,,,
4,OSCILATOR,,,,,,,,
4,FLOAT SLIDE,,,,,,,,
4,FLOAT TORNADO SWIRL,,,,,,,,
4,OSCILATOR JUNIOR,,,,,,,,
4,MULTI LANE RACING SLIDE,,,,,,,,
4,RIVER SLIDE,,,,,,,,
4,FLOAT WAVE RIDER,,,,,,,,
4,TWISTER SLIDE,,,,,,,,
3,WATER HOUSE 2,,,,,,,,
3,WATER HOUSE 3,,,,,,,,
3,WATER HOUSE 4,,,,,,,,
3,WATER HOUSE 5,,,,,,,,
3,WATER HOUSE 6,,,,,,,,
3,WATER HOUSE 7,,,,,,,,
3,WATER HOUSE 8,,,,,,,,
3,WATER HOUSE 9,,,,,,,,
3,WATER HOUSE 10,,,,,,,,
3,WATER HOUSE 11,,,,,,,,
3,WATER HOUSE 12,,,,,,,,
3,WATER HOUSE 13,,,,,,,,
3,WATER HOUSE 14,,,,,,,,
3,WATER HOUSE 15,,,,,,,,
3,WATER HOUSE 16,,,,,,,,
3,WATER HOUSE 17,,,,,,,,
3,WATER HOUSE 18,,,,,,,,
3,WATER HOUSE 19,,,,,,,,
3,WATER HOUSE 20,,,,,,,,
